doi,split,year,journal_rank,primary_theme,has_local_fulltext
https://doi.org/10.1002/2015ef000334,train,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2015ef000338,train,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2015ef000347,development,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2015gl067492,train,2016,4,dynamics-weather-systems,true
https://doi.org/10.1002/2015jd023257,train,2016,5,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2015jd023718,train,2016,5,atmospheric-radiation,false
https://doi.org/10.1002/2015jd023744,train,2016,5,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2015jd023929,blind_test,2016,5,climate-variability-change,false
https://doi.org/10.1002/2015jd023977,train,2016,5,dynamics-weather-systems,false
https://doi.org/10.1002/2015jd024020,train,2016,5,atmospheric-chemistry,true
https://doi.org/10.1002/2015jd024027,blind_test,2016,5,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2015jd024131,train,2016,5,remote-sensing-retrieval,false
https://doi.org/10.1002/2015jd024181,development,2016,5,dynamics-weather-systems,false
https://doi.org/10.1002/2015jd024229,train,2016,5,atmospheric-chemistry,true
https://doi.org/10.1002/2015jd024290,train,2016,5,dynamics-weather-systems,false
https://doi.org/10.1002/2015jd024297,train,2016,5,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2015jd024473,train,2016,5,dynamics-weather-systems,false
https://doi.org/10.1002/2015jd024556,train,2016,5,forecasting-predictability,false
https://doi.org/10.1002/2015jd024631,train,2016,5,dynamics-weather-systems,false
https://doi.org/10.1002/2015jd024666,train,2016,5,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2015jd024728,train,2016,5,observations-instruments,false
https://doi.org/10.1002/2016ef000362,train,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000376,train,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000379,train,2016,7,ocean-atmosphere,true
https://doi.org/10.1002/2016ef000417,blind_test,2016,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000445,train,2016,7,atmospheric-radiation,false
https://doi.org/10.1002/2016ef000469,blind_test,2017,7,climate-variability-change,false
https://doi.org/10.1002/2016ef000477,train,2017,7,unclassified,false
https://doi.org/10.1002/2016ef000480,train,2017,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000485,blind_test,2016,7,extremes,false
https://doi.org/10.1002/2016ef000494,train,2017,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000505,train,2017,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016ef000514,train,2017,7,observations-instruments,false
https://doi.org/10.1002/2016ef000518,train,2017,7,unclassified,false
https://doi.org/10.1002/2016ef000525,development,2017,7,climate-variability-change,false
https://doi.org/10.1002/2016ef000531,development,2017,7,dynamics-weather-systems,false
https://doi.org/10.1002/2016gl067745,development,2016,4,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2016gl068070,train,2016,4,extremes,false
https://doi.org/10.1002/2016gl068189,blind_test,2016,4,cloud-precipitation-microphysics,false
https://doi.org/10.1002/2016gl068507,blind_test,2016,4,dynamics-weather-systems,true
https://doi.org/10.1002/2016gl068949,train,2016,4,atmospheric-chemistry,true
https://doi.org/10.1002/2016gl069239,train,2016,4,atmospheric-chemistry,false
https://doi.org/10.1002/2016gl069315,blind_test,2016,4,dynamics-weather-systems,false
https://doi.org/10.1002/2016gl069563,train,2016,4,dynamics-weather-systems,false
https://doi.org/10.1002/2016gl069690,development,2016,4,observations-instruments,false
https://doi.org/10.1002/2016gl069716,train,2016,4,climate-variability-change,false
https://doi.org/10.1002/2016gl069790,train,2016,4,unclassified,false
https://doi.org/10.1002/2016gl070023,train,2016,4,ocean-atmosphere,true
https://doi.org/10.1002/2016gl070319,blind_test,2016,4,dynamics-weather-systems,false
https://doi.org/10.1002/2016gl070709,train,2016,4,statistics-causal-ml,false
https://doi.org/10.1002/2016gl070815,train,2016,4,atmospheric-chemistry,false
